method,nominal_hz,time_rel_s,time_s,x_m,y_m
method2,5.0,9.3,478.1317,-1.1278729253113853,2.8299645625525893
method2,5.0,9.4,478.2317,-1.1295362635208404,2.8250527931112686
method2,5.0,9.5,478.3317,-1.1311801150339205,2.8201338353031136
method2,5.0,9.6,478.43170000000003,-1.1328239665470003,2.815214877494958
method2,5.0,9.7,478.5317,-1.1344483004675252,2.8102888086341142
method2,5.0,9.8,478.6317,-1.1360726343880498,2.8053627397732703
method2,5.0,9.9,478.7317,-1.1376774201266,2.80042963730604
method2,5.0,10.0,478.8317,-1.13928220586515,2.79549653483881
method2,5.0,10.1,478.93170000000003,-1.1408674131396301,2.7905564763424446
method2,5.0,10.2,479.0317,-1.1424526204141103,2.7856164178460796
method2,5.0,10.3,479.1317,-1.1440182192502952,2.780669481027564
method2,5.0,10.4,479.2317,-1.1455838180864804,2.7757225442090485
method2,5.0,10.5,479.3317,-1.1471297788186003,2.7707688069038734
method2,5.0,10.6,479.43170000000003,-1.1486757395507206,2.7658150695986983
method2,5.0,10.7,479.5317,-1.1502020328219802,2.7608546097696345
method2,5.0,10.8,479.6317,-1.1517283260932398,2.7558941499405702
method2,5.0,10.9,479.7317,-1.153234922856375,2.750927045676445
method2,5.0,11.0,479.8317,-1.15474151961951,2.74595994141232
method2,5.0,11.1,479.93170000000003,-1.156228391137315,2.7409862709267947
method2,5.0,11.2,480.0317,-1.1577152626551201,2.7360126004412697
method2,5.0,11.3,480.1317,-1.1591823805010053,2.7310324420715943
method2,5.0,11.4,480.2317,-1.1606494983468905,2.7260522837019185
method2,5.0,11.5,480.3317,-1.1620968344053855,2.7210657159077085
method2,5.0,11.6,480.43170000000003,-1.1635441704638805,2.716079148113498
method2,5.0,11.7,480.5317,-1.1649716969311652,2.7110862494754993
method2,5.0,11.8,480.6317,-1.1663992233984497,2.7060933508375005
method2,5.0,11.9,480.7317,-1.1678069127828898,2.7010942000563403
method2,5.0,12.0,480.8317,-1.16921460216733,2.69609504927518
method2,5.0,12.1,480.93170000000003,-1.170602427289975,2.69108972517014
method2,5.0,12.2,481.0317,-1.1719902524126202,2.6860844010650995
method2,5.0,12.3,481.1317,-1.1733581864077052,2.681072982572864
method2,5.0,12.4,481.2317,-1.1747261204027901,2.6760615640806287
method2,5.0,12.5,481.3317,-1.1760741367182703,2.6710441302540486
method2,5.0,12.6,481.43170000000003,-1.1774221530337505,2.666026696427468
method2,5.0,12.7,481.5317,-1.1787502254317652,2.6610033264343045
method2,5.0,12.8,481.6317,-1.1800782978297797,2.6559799564411404
method2,5.0,12.9,481.7317,-1.1813864003871748,2.6509507295628154
method2,5.0,13.0,481.8317,-1.18269450294457,2.64592150268449
method2,5.0,13.1,481.93170000000003,-1.18398261005337,2.640886498314855
method2,5.0,13.2,482.0317,-1.1852707171621701,2.6358514939452196
method2,5.0,13.3,482.1317,-1.1865388035300652,2.630810791589274
method2,5.0,13.4,482.2317,-1.1878068898979601,2.625770089233329
method2,5.0,13.5,482.3317,-1.1890549305488054,2.6207237685059885
method2,5.0,13.6,482.43170000000003,-1.1903029711996505,2.615677447778648
method2,5.0,13.7,482.5317,-1.1915309414739101,2.6106255884034693
method2,5.0,13.8,482.6317,-1.1927589117481698,2.6055737290282903
method2,5.0,13.9,482.7317,-1.193966787303405,2.6005164108362253
method2,5.0,14.0,482.8317,-1.19517466285864,2.59545909264416
method2,5.0,14.1,482.93170000000003,-1.19636241966997,2.5903963955722844
method2,5.0,14.2,483.0317,-1.1975501764813001,2.5853336985004094
method2,5.0,14.3,483.1317,-1.19871779084186,2.580265702590674
method2,5.0,14.4,483.2317,-1.1998854052024202,2.575197706680939
method2,5.0,14.5,483.3317,-1.2010328537238253,2.5701244920788837
method2,5.0,14.6,483.43170000000003,-1.2021803022452304,2.565051277476828
method2,5.0,14.7,483.5317,-1.2033075618580102,2.559972924430334
method2,5.0,14.8,483.6317,-1.2044348214707898,2.5548945713838402
method2,5.0,14.9,483.7317,-1.205541869424835,2.5498111602418403
method2,5.0,15.0,483.8317,-1.20664891737888,2.54472774909984
method2,5.0,15.1,483.93170000000003,-1.2077357312439,2.5396393603110745
method2,5.0,15.2,484.0317,-1.2088225451089203,2.5345509715223096
method2,5.0,15.3,484.1317,-1.2098891027748502,2.529457685634034
method2,5.0,15.4,484.2317,-1.2109556604407803,2.5243643997457585
method2,5.0,15.5,484.3317,-1.2120019401182403,2.5192662974024636
method2,5.0,15.6,484.43170000000003,-1.2130482197957004,2.514168195059168
method2,5.0,15.7,484.5317,-1.214074200016385,2.5090653570013193
method2,5.0,15.8,484.6317,-1.21510018023707,2.5039625189434704
method2,5.0,15.9,484.7317,-1.2161058398542,2.4988550260062303
method2,5.0,16.0,484.8317,-1.21711149947133,2.49374753306899
method2,5.0,16.1,484.93170000000003,-1.21809681766005,2.48863546618091
method2,5.0,16.2,485.0317,-1.21908213584877,2.4835233992928294
method2,5.0,16.3,485.1317,-1.2200470921065603,2.478406839474609
method2,5.0,16.4,485.2317,-1.2210120483643503,2.473290279656389
method2,5.0,16.5,485.3317,-1.2219566225114253,2.4681693080195584
method2,5.0,16.6,485.43170000000003,-1.2229011966585002,2.463048336382728
method2,5.0,16.7,485.5317,-1.2238253688382201,2.4579230341283793
method2,5.0,16.8,485.6317,-1.22474954101794,2.4527977318740306
method2,5.0,16.9,485.7317,-1.22565329169719,2.4476681802915206
method2,5.0,17.0,485.8317,-1.22655704237644,2.44253862870901
method2,5.0,17.1,485.93170000000003,-1.227440352346025,2.4374049091746746
method2,5.0,17.2,486.0317,-1.22832366231561,2.4322711896403395
method2,5.0,17.3,486.1317,-1.2291865126906452,2.4271333836162188
method2,5.0,17.4,486.2317,-1.2300493630656801,2.421995577592099
method2,5.0,17.5,486.3317,-1.2308917352859552,2.4168537666246084
method2,5.0,17.6,486.43170000000003,-1.2317341075062302,2.4117119556571183
method2,5.0,17.7,486.5317,-1.232555983336595,2.4065662213757895
method2,5.0,17.8,486.6317,-1.23337785916696,2.4014204870944607
method2,5.0,17.9,486.7317,-1.234179220697685,2.3962709112106353
method2,5.0,18.0,486.8317,-1.23498058222841,2.39112133532681
method2,5.0,18.1,486.93170000000003,-1.23576141187555,2.3859679996323244
method2,5.0,18.2,487.0317,-1.23654224152269,2.3808146639378394
method2,5.0,18.3,487.1317,-1.2373025220284402,2.375657650303754
method2,5.0,18.4,487.2317,-1.2380628025341902,2.3705006366696693
method2,5.0,18.5,487.3317,-1.2388025169672452,2.3653400270449536
method2,5.0,18.6,487.43170000000003,-1.2395422314003002,2.3601794174202384
method2,5.0,18.7,487.5317,-1.240261363156195,2.3550152938304594
method2,5.0,18.8,487.6317,-1.24098049491209,2.3498511702406804
method2,5.0,18.9,487.7317,-1.2416790277135499,2.3446836147867103
method2,5.0,19.0,487.8317,-1.24237756051501,2.33951605933274
method2,5.0,19.1,487.93170000000003,-1.24305547841227,2.3343451541894646
method2,5.0,19.2,488.0317,-1.24373339630953,2.3291742490461895
method2,5.0,19.3,488.1317,-1.2443906836806802,2.324000076461169
method2,5.0,19.4,488.2317,-1.2450479710518303,2.318825903876149
method2,5.0,19.5,488.3317,-1.2456846126031502,2.3136485461683334
method2,5.0,19.6,488.43170000000003,-1.2463212541544701,2.3084711884605182
method2,5.0,19.7,488.5317,-1.246937234920725,2.3032907280189394
method2,5.0,19.8,488.6317,-1.24755321568698,2.2981102675773606
method2,5.0,19.9,488.7317,-1.2481485210317649,2.2929267868598053
method2,5.0,20.0,488.8317,-1.24874382637655,2.28774330614225
method2,5.0,20.1,488.93170000000003,-1.24931844199258,2.2825568876739495
method2,5.0,20.2,489.0317,-1.24989305760861,2.2773704692056493
method2,5.0,20.3,489.1317,-1.2504469695180251,2.2721811955779887
method2,5.0,20.4,489.2317,-1.2510008814274403,2.266991921950329
method2,5.0,20.5,489.3317,-1.2515340759821252,2.2617998758195035
method2,5.0,20.6,489.43170000000003,-1.2520672705368103,2.256607829688678
method2,5.0,20.7,489.5317,-1.2525797344186702,2.251413093774384
method2,5.0,20.8,489.6317,-1.25309219830053,2.2462183578600903
method2,5.0,20.9,489.7317,-1.25358391852179,2.2410210149442253
method2,5.0,21.0,489.8317,-1.25407563874305,2.23582367202836
method2,5.0,21.1,489.93170000000003,-1.254546602646535,2.2306238049536797
method2,5.0,21.2,490.0317,-1.25501756655002,2.2254239378789995
method2,5.0,21.3,490.1317,-1.255467761809435,2.220221629547809
method2,5.0,21.4,490.2317,-1.25591795706885,2.215019321216619
method2,5.0,21.5,490.3317,-1.25634737168905,2.2098146545894433
method2,5.0,21.6,490.43170000000003,-1.2567767863092503,2.204609987962268
method2,5.0,21.7,490.5317,-1.257185408626525,2.1994030460565543
method2,5.0,21.8,490.6317,-1.2575940309438,2.1941961041508407
method2,5.0,21.9,490.7317,-1.25798184962612,2.1889869700395903
method2,5.0,22.0,490.8317,-1.25836966830844,2.18377783592834
method2,5.0,22.1,490.93170000000003,-1.25873667235571,2.1785665927388247
method2,5.0,22.2,491.0317,-1.25910367640298,2.1733553495493094
method2,5.0,22.3,491.1317,-1.259449855147315,2.168142080461724
method2,5.0,22.4,491.2317,-1.25979603389165,2.1629288113741385
method2,5.0,22.5,491.3317,-1.2601213769976052,2.1577135996202736
method2,5.0,22.6,491.43170000000003,-1.26044672010356,2.1524983878664083
method2,5.0,22.7,491.5317,-1.2607512175683802,2.1472813167283245
method2,5.0,22.8,491.6317,-1.2610557150332,2.1420642455902406
method2,5.0,22.9,491.7317,-1.26133935718704,2.1368453983989455
method2,5.0,23.0,491.8317,-1.26162299934088,2.13162655120765
method2,5.0,23.1,491.93170000000003,-1.261885776847065,2.1264060113417496
method2,5.0,23.2,492.0317,-1.26214855435325,2.1211854714758496
method2,5.0,23.3,492.1317,-1.262390458208485,2.115963322360239
method2,5.0,23.4,492.2317,-1.26263236206372,2.110741173244629
method2,5.0,23.5,492.3317,-1.2628533835983,2.1055174983491485
method2,5.0,23.6,492.43170000000003,-1.26307440513288,2.100293823453668
method2,5.0,23.7,492.5317,-1.26327453601093,2.0950687062917495
method2,5.0,23.8,492.6317,-1.26347466688898,2.0898435891298304
method2,5.0,23.9,492.7317,-1.26365389910864,2.0846171132572002
method2,5.0,24.0,492.8317,-1.2638331313283,2.07939063738457
method2,5.0,24.1,492.93170000000003,-1.263991457221955,2.0741628863978896
method2,5.0,24.2,493.0317,-1.26414978311561,2.0689351354112095
method2,5.0,24.3,493.1317,-1.26428719535007,2.063706192946729
method2,5.0,24.4,493.2317,-1.26442460758453,2.0584772504822486
method2,5.0,24.5,493.3317,-1.2645410991612351,2.0532472002144986
method2,5.0,24.6,493.43170000000003,-1.26465759073794,2.048017149946748
method2,5.0,24.7,493.5317,-1.2647531549931401,2.0427860755871743
method2,5.0,24.8,493.6317,-1.26484871924834,2.0375550012276005
method2,5.0,24.9,493.7317,-1.26492334985328,2.0323229865232304
method2,5.0,25.0,493.8317,-1.26499798045822,2.02709097181886
method2,5.0,25.1,493.93170000000003,-1.26505167141933,2.0218581005509795
method2,5.0,25.2,494.0317,-1.26510536238044,2.0166252292830995
method2,5.0,25.3,494.1317,-1.265138108039495,2.011391585265879
method2,5.0,25.4,494.2317,-1.26517085369855,2.0061579412486585
method2,5.0,25.5,494.3317,-1.2651826487328401,2.0009236083278386
method2,5.0,25.6,494.43170000000003,-1.26519444376713,1.9956892754070181
method2,5.0,25.7,494.5317,-1.265185283189625,1.9904543374585593
method2,5.0,25.8,494.6317,-1.26517612261212,1.9852193995101006
method2,5.0,25.9,494.7317,-1.2651460017716252,1.9799839404388204
method2,5.0,26.0,494.8317,-1.26511588093113,1.97474848136754
method2,5.0,26.1,494.93170000000003,-1.265064795512435,1.9695125851058046
method2,5.0,26.2,495.0317,-1.26501371009374,1.9642766888440693
method2,5.0,26.3,495.1317,-1.2649416561177649,1.959040439350409
method2,5.0,26.4,495.2317,-1.26486960214179,1.9538041898567489
method2,5.0,26.5,495.3317,-1.264776575965725,1.9485676711145385
method2,5.0,26.6,495.43170000000003,-1.26468354978966,1.9433311523723282
method2,5.0,26.7,495.5317,-1.2645695481071149,1.9380944483884395
method2,5.0,26.8,495.6317,-1.26445554642457,1.9328577444045507
method2,5.0,26.9,495.7317,-1.264320566265675,1.9276209392079755
method2,5.0,27.0,495.8317,-1.26418558610678,1.9223841340114
method2,5.0,27.1,495.93170000000003,-1.264029624838335,1.9171473116519397
method2,5.0,27.2,496.0317,-1.26387366356989,1.9119104892924794
method2,5.0,27.3,496.1317,-1.26369671889547,1.906673733839374
method2,5.0,27.4,496.2317,-1.26351977422105,1.9014369783862688
method2,5.0,27.5,496.3317,-1.26332184418113,1.8962003739268585
method2,5.0,27.6,496.43170000000003,-1.26312391414121,1.8909637694674482
method2,5.0,27.7,496.5317,-1.2629049971132649,1.8857274001058044
method2,5.0,27.8,496.6317,-1.26268608008532,1.8804910307441607
method2,5.0,27.9,496.7317,-1.26244617478392,1.8752549805997654
method2,5.0,28.0,496.8317,-1.26220626948252,1.87001893045537
method2,5.0,28.1,496.93170000000003,-1.261945374959445,1.8647832836617346
method2,5.0,28.2,497.0317,-1.26168448043637,1.8595476368680994
method2,5.0,28.3,497.1317,-1.26140259608069,1.854312477571429
method2,5.0,28.4,497.2317,-1.26112071172501,1.8490773182747589
method2,5.0,28.5,497.3317,-1.2608178372631749,1.8438427306325935
method2,5.0,28.6,497.43170000000003,-1.2605149628013397,1.8386081429904282
method2,5.0,28.7,497.5317,-1.2601910982972548,1.8333742111703044
method2,5.0,28.8,497.6317,-1.25986723379317,1.8281402793501806
method2,5.0,28.9,497.7317,-1.25952237964828,1.8229070875282505
method2,5.0,29.0,497.8317,-1.25917752550339,1.81767389570632
method2,5.0,29.1,497.93170000000003,-1.2588116824567448,1.8124415280660298
method2,5.0,29.2,498.0317,-1.2584458394101,1.8072091604257394
method2,5.0,29.3,498.1317,-1.25805900853842,1.8019777011564442
method2,5.0,29.4,498.2317,-1.25767217766674,1.796746241887149
method2,5.0,29.5,498.3317,-1.2572643603844749,1.7915157751827835
method2,5.0,29.6,498.43170000000003,-1.2568565431022098,1.7862853084784183
method2,5.0,29.7,498.5317,-1.256427741161595,1.7810559185361343
method2,5.0,29.8,498.6317,-1.25599893922098,1.7758265285938506
method2,5.0,29.9,498.7317,-1.25554915471207,1.7705982996126404
method2,5.0,30.0,498.8317,-1.25509937020316,1.76537007063143
method2,5.0,30.1,498.93170000000003,-1.2546286055539,1.7601430868108097
method2,5.0,30.2,499.0317,-1.25415784090464,1.7549161029901894
method2,5.0,30.3,499.1317,-1.253666098880875,1.7496904485288192
method2,5.0,30.4,499.2317,-1.25317435685711,1.744464794067449
method2,5.0,30.5,499.3317,-1.2526616405626398,1.7392405531617685
method2,5.0,30.6,499.43170000000003,-1.2521489242681698,1.7340163122560883
method2,5.0,30.7,499.5317,-1.2516152371447549,1.7287935690989795
method2,5.0,30.8,499.6317,-1.25108155002134,1.7235708259418707
method2,5.0,30.9,499.7317,-1.2505268958487301,1.7183496647212955
method2,5.0,31.0,499.8317,-1.24997224167612,1.71312850350072
method2,5.0,31.1,499.93170000000003,-1.249396624572085,1.7079090083983597
method2,5.0,31.2,500.0317,-1.24882100746805,1.7026895132959994
method2,5.0,31.3,500.1317,-1.24822443188837,1.697471768485899
method2,5.0,31.4,500.2317,-1.2476278563086898,1.6922540236757988
method2,5.0,31.5,500.3317,-1.2470103270471598,1.6870381133230035
method2,5.0,31.6,500.43170000000003,-1.2463927977856297,1.6818222029702081
method2,5.0,31.7,500.5317,-1.24575431997408,1.6766082112294245
method2,5.0,31.8,500.6317,-1.24511584216253,1.6713942194886406
method2,5.0,31.9,500.7317,-1.244456421270795,1.6661822305028553
method2,5.0,32.0,500.8317,-1.24379700037906,1.66097024151707
method2,5.0,32.1,500.93170000000003,-1.24311664221498,1.6557603394162046
method2,5.0,32.2,501.0317,-1.2424362840509,1.6505504373153392
method2,5.0,32.3,501.1317,-1.24173499476031,1.6453427062148993
method2,5.0,32.4,501.2317,-1.2410337054697198,1.640134975114459
method2,5.0,32.5,501.3317,-1.2403114915364097,1.6349294991141534
method2,5.0,32.6,501.43170000000003,-1.2395892776030997,1.6297240231138481
method2,5.0,32.7,501.5317,-1.2388461458487998,1.6245208862962592
method2,5.0,32.8,501.6317,-1.2381030140945,1.6193177494786706
method2,5.0,32.9,501.7317,-1.23733897167884,1.6141170359078754
method2,5.0,33.0,501.8317,-1.23657492926318,1.60891632233708
method2,5.0,33.1,501.93170000000003,-1.2357899836836599,1.6037181160572946
method2,5.0,33.2,502.0317,-1.2350050381041398,1.5985199097775094
method2,5.0,33.3,502.1317,-1.2341991971960748,1.5933242948117443
method2,5.0,33.4,502.2317,-1.2333933562880097,1.5881286798459788
method2,5.0,33.5,502.3317,-1.2325666282244847,1.5829357401946684
method2,5.0,33.6,502.43170000000003,-1.2317399001609597,1.5777428005433582
method2,5.0,33.7,502.5317,-1.2308922934527748,1.5725526201830093
method2,5.0,33.8,502.6317,-1.2300446867445902,1.5673624398226607
method2,5.0,33.9,502.7317,-1.229176210240195,1.5621751027044755
method2,5.0,34.0,502.8317,-1.2283077337358,1.55698776558629
method2,5.0,34.1,502.93170000000003,-1.22741839662125,1.5518033556348496
method2,5.0,34.2,503.0317,-1.2265290595066998,1.5466189456834094
method2,5.0,34.3,503.1317,-1.2256188713055398,1.5414375467952743
method2,5.0,34.4,503.2317,-1.2247086831043799,1.5362561479071388
method2,5.0,34.5,503.3317,-1.2237776536776097,1.5310778439495085
method2,5.0,34.6,503.43170000000003,-1.2228466242508396,1.5258995399918782
method2,5.0,34.7,503.5317,-1.2218947637968198,1.5207244148012393
method2,5.0,34.8,503.6317,-1.2209429033428003,1.5155492896106006
method2,5.0,34.9,503.7317,-1.2199702223971451,1.5103774269913655
method2,5.0,35.0,503.8317,-1.21899754145149,1.50520556437213
method2,5.0,35.1,503.93170000000003,-1.218004050887,1.5000370480952747
method2,5.0,35.2,504.0317,-1.2170105603225099,1.4948685318184194
method2,5.0,35.3,504.1317,-1.21599627134906,1.4897034456201292
method2,5.0,35.4,504.2317,-1.2149819823756098,1.4845383594218389
method2,5.0,35.5,504.3317,-1.2139469065400448,1.4793767870021535
method2,5.0,35.6,504.43170000000003,-1.2129118307044795,1.4742152145824683
method2,5.0,35.7,504.5317,-1.2118559798905049,1.4690572396039294
method2,5.0,35.8,504.6317,-1.2108001290765302,1.4638992646253908
method2,5.0,35.9,504.7317,-1.2097235155045951,1.4587449707116804
method2,5.0,36.0,504.8317,-1.20864690193266,1.45359067679797
method2,5.0,36.1,504.93170000000003,-1.2075495381598549,1.4484401475325546
method2,5.0,36.2,505.0317,-1.2064521743870498,1.4432896182671393
method2,5.0,36.3,505.1317,-1.2053340733069398,1.4381429371919243
method2,5.0,36.4,505.2317,-1.2042159722268297,1.4329962561167089
method2,5.0,36.5,505.3317,-1.2030771470693746,1.4278535067306635
method2,5.0,36.6,505.43170000000003,-1.2019383219119195,1.4227107573446183
method2,5.0,36.7,505.5317,-1.2007787862432897,1.4175720231024493
method2,5.0,36.8,505.6317,-1.1996192505746601,1.4124332888602806
method2,5.0,36.9,505.7317,-1.198439018297125,1.4072986531710503
method2,5.0,37.0,505.8317,-1.19725878601959,1.40216401748182
method2,5.0,37.1,505.93170000000003,-1.19605787137135,1.3970335637076097
method2,5.0,37.2,506.0317,-1.1948569567231098,1.3919031099333994
method2,5.0,37.3,506.1317,-1.193635374278165,1.3867769213879593
method2,5.0,37.4,506.2317,-1.1924137918332198,1.381650732842519
method2,5.0,37.5,506.3317,-1.1911715565011847,1.3765288927898984
method2,5.0,37.6,506.43170000000003,-1.1899293211691495,1.3714070527372781
method2,5.0,37.7,506.5317,-1.1886664481951148,1.3662896443904893
method2,5.0,37.8,506.6317,-1.1874035752210803,1.3611722360437006
method2,5.0,37.9,506.7317,-1.186120080185415,1.3560593425633554
method2,5.0,38.0,506.8317,-1.18483658514975,1.35094644908301
method2,5.0,38.1,506.93170000000003,-1.18353248396796,1.3458381535759796
method2,5.0,38.2,507.0317,-1.1822283827861697,1.3407298580689493
method2,5.0,38.3,507.1317,-1.1809036917086848,1.3356262435870092
method2,5.0,38.4,507.2317,-1.1795790006311997,1.330522629105069
method2,5.0,38.5,507.3317,-1.1782337362431996,1.3254237786435434
method2,5.0,38.6,507.43170000000003,-1.1768884718551995,1.3203249281820182
method2,5.0,38.7,507.5317,-1.1755226510764347,1.3152309246784393
method2,5.0,38.8,507.6317,-1.1741568302976702,1.3101369211748606
method2,5.0,38.9,507.7317,-1.172770470382245,1.3050478475076153
method2,5.0,39.0,507.8317,-1.17138411046682,1.29995877384037
method2,5.0,39.1,507.93170000000003,-1.1699772290030048,1.2948747128273497
method2,5.0,39.2,508.0317,-1.1685703475391898,1.2897906518143294
method2,5.0,39.3,508.1317,-1.167142962449205,1.2847116862115944
method2,5.0,39.4,508.2317,-1.1657155773592198,1.279632720608859
method2,5.0,39.5,508.3317,-1.1642677068990246,1.2745589331092737
method2,5.0,39.6,508.43170000000003,-1.1628198364388296,1.2694851456096883
method2,5.0,39.7,508.5317,-1.1613514991979,1.2644166188415944
method2,5.0,39.8,508.6317,-1.1598831619569703,1.2593480920735007
